0.756,0.113,0.129,0.002,0,0,0
0.174,0.821,0.004,0.001,0,0,0
0.141,0.001,0.776,0.082,0,0,0
0.003,0,0.192,0.753,0.052,0,0
0,0,0.002,0.227,0.735,0.036,0
0,0,0,0.007,0.367,0.604,0.022
0,0,0,0,0.053,0.158,0.789
